Year,Month,Day,Activity,Time,cleaned_species
2020,December,8,Surfing,07:45 AM,Tiger Shark
2020,December,6,Surfing,03:20 PM,Not Specified
2020,December,6,Surfing,02:20 PM,White Shark
2020,December,2,Scuba diving,Not Specified,Oceanic Whitetip Shark
2020,November,26,Snorkeling,02:00 PM,Not Specified
2020,November,23,Snorkeling,Not Specified,Tiger Shark
2020,November,22,Body boarding,08:40 AM,Bull Shark
2020,November,2,Surfing,06:00 AM,Not Specified
2020,October,31,Swimming,04:00 PM,Blacktip Shark
2020,October,30,Spearfishing,Not Specified,Not Specified
2020,October,29,Surfing,01:00 PM,Not Specified
2020,October,25,Snorkeling,Not Specified,Not Specified
2020,October,24,Spearfishing,12:00 PM,Not Specified
2020,October,21,Surfing,Not Specified,Not Specified
2020,October,9,Surfing,10:45 AM,Not Specified
2020,October,7,Body Surfing,Not Specified,Blacktip Shark
2020,October,4,Surfing,10:45 AM,Bronze Whaler Shark
2020,September,29,Not Specified,Not Specified,Nurse Shark
2020,September,21,Swimming,11:00 AM,Not Specified
2020,September,20,Snorkeling,10:30 AM,Bull Shark
2020,September,17,Fishing,04:00 PM,White Shark
2020,September,16,Foil-boarding,Not Specified,White Shark
2020,September,16,Swimming,03:20 PM,Not Specified
2020,September,15,Surfing,10:45 AM,Not Specified
2020,September,15,Surfing,08:15 AM,Not Specified
2020,September,8,Surf fishing,Not Specified,Not Specified
2020,September,7,Surfing,05:00 PM,White Shark
2020,September,6,Snorkeling,04:30 PM,Not Specified
2020,September,2,Not Specified,Not Specified,Nurse Shark
2020,August,30,Fishing / Filming sharks feeding on whale carcass,Not Specified,White Shark
2020,August,30,Surfing,11:30 AM,Not Specified
2020,August,28,Kayak fishing,Not Specified,White Shark
2020,August,23,Standing,03:00 PM,Not Specified
2020,August,22,Surfing,Not Specified,Not Specified
2020,August,20,Boogie boarding,11:00 AM,Not Specified
2020,August,19,Wading,Not Specified,Not Specified
2020,August,14,Surfing,09:30 AM,White Shark
2020,August,10,Fishing,04:00 PM,Blacktip Shark
2020,August,2,Snorkeling,02:00 PM,Nurse Shark
2020,August,1,Surfing,Not Specified,Not Specified
2020,July,31,Surfing,05:00 PM,Not Specified
2020,July,31,Swimming,01:00 PM,Spinner Shark
2020,July,31,Surfing,02:15 PM,White Shark
2020,July,29,Diving,Not Specified,Lemon Shark
2020,July,29,Sightseeing,09:08 AM,White Shark
2020,July,27,Swimming,Not Specified,Blacktip Reef Shark
2020,July,27,Swimming,03:59 PM,White Shark
2020,July,23,Spearfishing,12:00 PM,Not Specified
2020,July,23,Standing,Not Specified,Not Specified
2020,July,22,Treading water,05:30 PM,Bull Shark
2020,July,19,Wading,Not Specified,Not Specified
2020,July,17,Fishing,01:30 PM,White Shark
2020,July,14,Wading,Not Specified,Bull Shark
2020,July,13,Snorkeling,11:45 AM,Not Specified
2020,July,11,Surfing,02:30 PM,White Shark
2020,July,4,Spearfishing,02:00 PM,Not Specified
2020,June,22,Playing,Not Specified,Bull Shark
2020,June,20,Body Surfing,04:00 PM,Not Specified
2020,June,20,Not Specified,Not Specified,Not Specified
2020,June,16,Surf skiing ,02:00 PM,Not Specified
2020,June,10,Windsurfing,Not Specified,Tiger Shark
2020,June,7,Surfing,10:40 AM,White Shark
2020,June,6,Not Specified,Not Specified,Not Specified
2020,June,4,Skimboarding,01:00 PM,Not Specified
2020,June,1,Surfing,08:30 AM,Tiger Shark
2020,May,31,Spearfishing,Not Specified,Bull Shark
2020,May,30,Spearfishing,Not Specified,Bull Shark
2020,May,28,Playing,Not Specified,Bull Shark
2020,May,26,Playing,Not Specified,Angel Shark
2020,May,17,Snorkeling,Not Specified,Blacktip Shark
2020,May,9,Surfing,01:30 PM,White Shark
2020,May,8,Surfing,04:00 PM,Not Specified
2020,May,1,Swimming,02:30 PM,Not Specified
2020,April,29,Body Boarding,05:45 PM,Not Specified
2020,April,21,Swimming,08:00 AM,Not Specified
2020,April,7,Surfing,10:00 AM,Bull Shark
2020,April,6,Swimming,05:30 PM,Not Specified
2020,April,6,Surfing,10:00 AM,Not Specified
2020,March,27,Stand-Up Paddleboarding,Not Specified,Not Specified
2020,March,22,Surfing,12:20 PM,Not Specified
2020,March,22,Surfing,10:50 AM,Not Specified
2020,March,21,Not Specified,Not Specified,Not Specified
2020,March,2,Spearfishing,Not Specified,Not Specified
2020,February,22,Surfing,11:30 AM,White Shark
2020,February,5,Stand-Up Paddle boarding,09:40 AM,Tiger Shark
2010,February,1,Canoeing,06:30 AM,Not Specified
2020,January,17,Surfing,08:00 AM,Not Specified
2020,January,16,Surfing,08:30 PM,Not Specified
2020,January,13,Surfing,02:33 PM,Not Specified
2020,January,12,Swimming,07:15 AM,Not Specified
2020,January,7,Swimming,05:30 PM,Lemon Shark
2020,January,5,Scuba diving,01:00 PM,White Shark
2020,January,3,Not Specified,Not Specified,Not Specified
2020,January,2,Swimming after being swept off rocks,04:10 PM,Not Specified
2019,December,30,Swimming,12:58 PM,Not Specified
2019,December,28,Swimming,07:00 PM,Not Specified
2019,December,26,Spearfishing,04:30 PM,Not Specified
2019,December,26,Surf skiing ,07:00 AM,Not Specified
2019,December,24,Boogie boarding,Not Specified,Not Specified
2019,December,21,Surfing,04:15 PM,Not Specified
2019,December,20,Fishing,Not Specified,White Shark
2019,December,12,Kayaking,Not Specified,Tiger Shark
2019,December,6,Free diving,09:00 AM,Not Specified
2019,December,3,Stand-Up Paddleboarding,10:00 AM,Tiger Shark
2019,November,30,Surfing,Not Specified,Blacktip Shark
2019,November,30,Snorkeling,06:00 PM,Not Specified
2019,November,23,Spearfishing,Not Specified,Not Specified
2019,November,23,Fishing,03:00 PM,Not Specified
2019,November,22,Snorkeling,Not Specified,Not Specified
2019,November,14,Feeding sharks,Not Specified,Blacktip Shark
2019,November,12,Surfing,Not Specified,Blacktip Shark
2019,November,11,Snorkeling,Not Specified,Not Specified
2019,November,9,Kayaking fishing,06:50 AM,White Shark
2019,November,6,Surfing,08:00 AM,White Shark
